[2024-10-02 14:26:16.257]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible
[2024-10-02 14:28:50.819]	 Already installed "tmux-continuum"
[2024-10-02 14:28:50.820]	 Already installed "tmux-copycat"
[2024-10-02 14:28:50.820]	 Already installed "tmux-resurrect"
[2024-10-02 14:28:50.820]	 Already installed "tmux-pain-control"
[2024-10-02 14:28:50.822]	 Already installed "tmux-sensible"
[2024-10-02 14:28:50.826]	 Already installed "tmux"
[2024-10-02 14:28:50.833]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:28:50.835]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:28:50.945]	 Updating all plugins!
[2024-10-02 14:28:50.946]	 
[2024-10-02 14:28:51.371]	   "tmux-cpu" update success
[2024-10-02 14:28:51.378]	     | Already up to date.
[2024-10-02 14:28:51.407]	   "tmux-copycat" update success
[2024-10-02 14:28:51.416]	     | Already up to date.
[2024-10-02 14:28:51.427]	   "tmux-resurrect" update success
[2024-10-02 14:28:51.431]	     | Already up to date.
[2024-10-02 14:28:51.443]	   "tmux-continuum" update success
[2024-10-02 14:28:51.447]	     | Already up to date.
[2024-10-02 14:28:51.456]	   "tmux" update success
[2024-10-02 14:28:51.461]	     | Already up to date.
[2024-10-02 14:28:51.476]	   "tmux-pain-control" update success
[2024-10-02 14:28:51.478]	     | Already up to date.
[2024-10-02 14:28:51.480]	   "tmux-sensible" update success
[2024-10-02 14:28:51.482]	     | Already up to date.
[2024-10-02 14:28:51.492]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-10-02 14:28:50.945]	 Updating all plugins!
[2024-10-02 14:28:50.946]	 
[2024-10-02 14:28:51.339]	   "tmux-copycat" update success
[2024-10-02 14:28:51.349]	     | Already up to date.
[2024-10-02 14:28:51.353]	   "tmux-cpu" update success
[2024-10-02 14:28:51.360]	     | Already up to date.
[2024-10-02 14:28:51.443]	   "tmux-resurrect" update success
[2024-10-02 14:28:51.447]	     | Already up to date.
[2024-10-02 14:28:51.454]	   "tmux-pain-control" update success
[2024-10-02 14:28:51.454]	   "tmux-continuum" update success
[2024-10-02 14:28:51.455]	     | Already up to date.
[2024-10-02 14:28:51.457]	     | Already up to date.
[2024-10-02 14:28:51.479]	   "tmux-sensible" update success
[2024-10-02 14:28:51.481]	     | Already up to date.
[2024-10-02 14:28:51.494]	   "tmux" update success
[2024-10-02 14:28:51.496]	     | Already up to date.
[2024-10-02 14:28:51.505]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-10-02 14:28:51.536]	 Done.

[2024-10-02 14:28:51.548]	 Done.

[2024-10-02 14:33:10.587]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:33:10.596]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-10-02 14:33:10.647]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:33:10.656]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-10-02 14:33:10.765]	 Already installed "tmux-cpu"
[2024-10-02 14:33:10.767]	 Already installed "tmux-copycat"
[2024-10-02 14:33:10.769]	 Already installed "tmux-resurrect"
[2024-10-02 14:33:10.771]	 Already installed "tmux-continuum"
[2024-10-02 14:33:10.773]	 Already installed "tmux-sensible"
[2024-10-02 14:33:10.774]	 Already installed "tmux-pain-control"
[2024-10-02 14:33:10.776]	 Already installed "tmux"
[2024-10-02 14:33:10.768]	 Already installed "tmux-copycat"
[2024-10-02 14:33:10.769]	 Already installed "tmux-resurrect"
[2024-10-02 14:33:10.770]	 Already installed "tmux-continuum"
[2024-10-02 14:33:10.772]	 Already installed "tmux-cpu"
[2024-10-02 14:33:10.772]	 Already installed "tmux-sensible"
[2024-10-02 14:33:10.775]	 Already installed "tmux-pain-control"
[2024-10-02 14:33:10.776]	 Already installed "tmux"
[2024-10-02 14:33:10.785]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
